panel,rung,arm,tidy_arm,topic,statistic,value_ms,sd_ms,n,capsules,note
A: seen basis (S-A per-topic),COMET,COMET,COMET,clinical,mean over 16 timed iters,59.688,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,colmath,mean over 16 timed iters,63.445,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,elecEng,mean over 16 timed iters,62.156,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,hsPsych,mean over 16 timed iters,60.617,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,hsWorldHist,mean over 16 timed iters,56.656,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,lcb,mean over 16 timed iters,60.155,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,philosophy,mean over 16 timed iters,57.235,,1,f3214016,
A: seen basis (S-A per-topic),COMET,COMET,COMET,proLaw,mean over 16 timed iters,65.841,0.320,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),COMET,COMET,COMET,ALL,mean over the 8 topics,60.724,2.867,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,clinical,mean over 16 timed iters,53.488,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,colmath,mean over 16 timed iters,55.621,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,elecEng,mean over 16 timed iters,53.251,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,hsPsych,mean over 16 timed iters,54.914,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,hsWorldHist,mean over 16 timed iters,52.224,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,lcb,mean over 16 timed iters,54.782,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,philosophy,mean over 16 timed iters,51.984,,1,f3214016,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,proLaw,mean over 16 timed iters,58.611,0.277,4,106bd039+62d5f12f+f3214016+f6f23656,
A: seen basis (S-A per-topic),1,1: token-comm overlap,1 token-comm overlap,ALL,mean over the 8 topics,54.359,2.011,8,106bd039+62d5f12f+f3214016+f6f23656,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),clinical,mean over 16 timed iters,58.304,0.604,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),colmath,mean over 16 timed iters,55.939,0.179,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),elecEng,mean over 16 timed iters,56.062,0.237,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),hsPsych,mean over 16 timed iters,56.602,0.420,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),hsWorldHist,mean over 16 timed iters,57.114,0.913,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),lcb,mean over 16 timed iters,57.811,0.311,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),philosophy,mean over 16 timed iters,56.623,0.407,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),proLaw,mean over 16 timed iters,59.409,0.203,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),2,2: placement + routing,2 placement only (pr0),ALL,mean over the 8 topics,57.233,1.121,8,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,value = mean of per-topic means; sd = spread over topics
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,clinical,mean over 16 timed iters,51.014,0.456,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,colmath,mean over 16 timed iters,50.471,0.616,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,elecEng,mean over 16 timed iters,50.849,0.245,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,hsPsych,mean over 16 timed iters,51.781,0.678,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,hsWorldHist,mean over 16 timed iters,50.378,0.491,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
A: seen basis (S-A per-topic),1+2,1+2 (no expert movement),1+2 static,lcb,mean over 16 timed iters,52.532,1.503,4,2b4c97c0+4fa85d76+722a718c+e7f0c6ef,
