nodes,model,budget_mib,S,cap,nlp,rows_total,t1,t2,t3,t4,t3_same_node,gpu_load_max,over_cap_rows,copies,drift_ppm,remote_rows_per_token,remote_nodes_per_token_cover,remote_nodes_per_token_evensplit,tokens_all_local_pct
4,K2,1,72,612,26,9216,814,2461,5806,135,0,648,93,416,462313,5.15711784362793,2.386284828186035,2.488715171813965,0.0
4,K2,4,296,2516,26,37888,3433,10509,23586,360,0,2668,213,416,345576,5.05616569519043,2.3490288257598877,2.4630489349365234,0.06334459176287055
4,K2,16,1168,9928,26,149504,13781,41156,93254,1313,0,10498,574,416,158616,5.060306072235107,2.3618900775909424,2.4715325832366943,0.08561643771827221
4,Qwen,1,128,1088,10,16384,1561,4977,8769,1077,0,1360,1041,160,433210,4.8076171875,1.99755859375,2.29296875,0.634765625
4,Qwen,4,512,4352,10,65536,6732,20197,34468,4139,0,5547,3947,160,235712,4.7127685546875,1.947998046875,2.2633056640625,0.67138671875
4,Qwen,16,2048,17408,10,262144,26841,80202,138269,16832,0,22032,16359,160,575963,4.733306884765625,1.9617919921875,2.27215576171875,0.6805419921875
8,K2,1,72,612,14,18432,1000,3154,12020,2258,0,776,737,448,425281,6.197048664093018,3.6119792461395264,4.16319465637207,0.0
8,K2,4,296,2516,14,75776,4279,12804,50003,8690,0,3170,2530,448,213427,6.196473598480225,3.578864097595215,4.115920543670654,0.010557432688074186
8,K2,16,1168,9928,14,299008,17028,51280,196502,34198,0,12408,10131,448,729101,6.172410011291504,3.5746469497680664,4.12047815322876,0.005351027357392013
8,Qwen,4,512,4352,6,131072,8934,26888,82713,12537,0,5929,8614,192,154406,5.8135986328125,2.95477294921875,3.69927978515625,0.067138671875
8,Qwen,16,2048,17408,6,524288,36303,108420,329608,49957,0,23837,34596,192,1638667,5.7917022705078125,2.950408935546875,3.700927734375,0.05035400390625
16,K2,1,72,612,8,36864,1339,4036,23106,8383,0,876,2219,512,356043,6.833550453186035,4.47352409362793,5.47178840637207,0.0
16,K2,4,296,2516,8,151552,5509,16286,96041,33716,0,3582,8893,512,216443,6.849503993988037,4.456820011138916,5.502745151519775,0.0
16,K2,16,1168,9928,8,598016,21527,64371,378246,133872,0,14078,36739,512,1955398,6.850893497467041,4.453860759735107,5.498046875,0.0
16,Qwen,1,128,1088,4,65536,3293,9899,42247,10097,0,1674,5910,256,243323,6.3896484375,3.4429931640625,5.0047607421875,0.0
16,Qwen,4,512,4352,4,262144,13255,39770,169153,39966,0,6561,22756,256,581385,6.381805419921875,3.3902587890625,5.006927490234375,0.0030517578125
16,Qwen,16,2048,17408,4,1048576,53075,159550,676428,159523,0,26688,90240,256,3785188,6.377799987792969,3.3785858154296875,5.0084075927734375,0.009918212890625
